ds,yhat,yhat_lower,yhat_upper
2023-08-13,3225.9976861609166,2399.9006047582734,3982.268880451732
2023-08-20,3113.1670824897706,2293.710041648898,3901.329829466255
2023-08-27,3429.3157017700732,2645.827875186889,4248.486486620558
2023-09-03,3874.892166707175,3093.9005021791418,4685.58385708442
2023-09-10,4115.0542673220525,3323.6918985144052,4958.823806563087
2023-09-17,4088.9409882578275,3275.4819208866875,4872.47014806703
2023-09-24,3962.1481836957396,3184.040955331768,4728.377457832155
2023-10-01,3864.191177139336,3078.47184005348,4658.058731186943
2023-10-08,3763.1584218398034,3031.2928331067596,4506.684318458633
2023-10-15,3587.3393712573716,2757.8928709104875,4383.196971500343
2023-10-22,3375.3477039089557,2616.2547351894004,4209.738142426881
2023-10-29,3245.7123412319415,2411.0445187285018,4050.4474759982077
